category,hwahae_rank,product_name,hwahae_rating,hwahae_review,olive_search_query,olive_found,olive_brand,olive_product_name,olive_full_name,original_price,sale_price,discount_rate
skin_toner,64,땡큐파머피토 릴리풀™ 시카 부스팅 토너,4.69,772,땡큐파머피토 릴리풀™ 시카 부스팅 토너,0,,,,,,
skin_toner,65,이즈앤트리체스트넛 바하 0.9% 클리어 토너,4.59,115,이즈앤트리체스트넛 바하 0.9% 클리어 토너,0,,,,,,
skin_toner,66,라운드랩약콩 판테놀 토너,4.71,102,라운드랩약콩 판테놀 토너,0,,,,,,
skin_toner,67,메이크프렘인테카 진정 토너,4.66,680,메이크프렘인테카 진정 토너,1,메이크프렘,메이크프렘 인테카 진정 토너 200ml 기획(+리필 100ml+크림 31ml),메이크프렘메이크프렘 인테카 진정 토너 200ml 기획(+리필 100ml+크림 31ml),26000.0,20800.0,20.0
skin_toner,68,라운드랩자작나무 수분 토너,4.5,2529,라운드랩자작나무 수분 토너,1,라운드랩,[수분생기] 라운드랩 자작나무 수분 토너 1+1 기획 (300ml+300ml),라운드랩[수분생기] 라운드랩 자작나무 수분 토너 1+1 기획 (300ml+300ml),24000.0,23800.0,0.8
skin_toner,69,아브카히알루론산 모공 토너,4.41,172,아브카히알루론산 모공 토너,0,,,,,,
skin_toner,70,마일드랩리얼블루센텔라 아줄렌 에센스 토너,4.61,106,마일드랩리얼블루센텔라 아줄렌 에센스 토너,0,,,,,,
skin_toner,71,에스트라에이시카365 수분토너 pH4.5,4.6,73,에스트라에이시카365 수분토너 pH4.5,0,,,,,,
skin_toner,72,일리윤세라마이드 아토 속보습 스킨,4.6,548,일리윤세라마이드 아토 속보습 스킨,1,일리윤,일리윤 세라마이드 아토 속보습 스킨 250ML,일리윤일리윤 세라마이드 아토 속보습 스킨 250ML,23000.0,23000.0,0.0
skin_toner,73,딕셔니스트아미노산 토너,4.59,2976,딕셔니스트아미노산 토너,1,딕셔니스트,[결청소토너] 딕셔니스트 아미노산 토너 250ml *,딕셔니스트[결청소토너] 딕셔니스트 아미노산 토너 250ml *,30000.0,19500.0,35.0
skin_toner,74,비플레인캐모마일 약산성 토너,4.5,7589,비플레인캐모마일 약산성 토너,0,,,,,,
skin_toner,75,원씽병풀 추출물 토너,4.49,4078,원씽병풀 추출물 토너,1,원씽,[수분진정/붉은기완화] 원씽 병풀 추출물 토너 150ml,원씽[수분진정/붉은기완화] 원씽 병풀 추출물 토너 150ml,11500.0,9900.0,13.9
skin_toner,76,에스트라테라크네365 하이드로 액티브 토너,4.41,182,에스트라테라크네365 하이드로 액티브 토너,1,에스트라,에스트라 테라크네365 하이드로 액티브 토너 200ml,에스트라에스트라 테라크네365 하이드로 액티브 토너 200ml,30000.0,30000.0,0.0
skin_toner,77,코스알엑스풀핏 프로폴리스 시너지 토너,4.47,2585,코스알엑스풀핏 프로폴리스 시너지 토너,1,코스알엑스,코스알엑스 풀핏 프로폴리스 시너지 토너 280ml,코스알엑스코스알엑스 풀핏 프로폴리스 시너지 토너 280ml,22000.0,15800.0,28.2
skin_toner,78,원씽어성초 추출물 토너,4.49,5676,원씽어성초 추출물 토너,1,원씽,[트러블완화/진정] 원씽 어성초 추출물 토너 150ml,원씽[트러블완화/진정] 원씽 어성초 추출물 토너 150ml,11500.0,9900.0,13.9
skin_toner,79,아브카딥 모이스처 세라마이드 크림 토너,4.61,33,아브카딥 모이스처 세라마이드 크림 토너,0,,,,,,
skin_toner,80,잇츠스킨스네일 콜라겐 액티브 토너,4.85,48,잇츠스킨스네일 콜라겐 액티브 토너,0,,,,,,
skin_toner,81,세로랩스수딩 토너,4.51,1006,세로랩스수딩 토너,0,,,,,,
skin_toner,82,브이티코스메틱피디알엔 토너,4.83,12,브이티코스메틱피디알엔 토너,1,VT,[광채부스팅] VT 피디알엔 토너 250ml,VT[광채부스팅] VT 피디알엔 토너 250ml,25000.0,17500.0,30.0
skin_toner,83,쓰리노프데일리 컨셔스 토너,4.64,360,쓰리노프데일리 컨셔스 토너,0,,,,,,
