category,hwahae_rank,product_name,hwahae_rating,hwahae_review
lotion_emulsion,67,아누아복숭아 77 나이아신 컨디셔닝 밀크,4.31,45
lotion_emulsion,68,세라비(해외) 데일리 모이스처라이징 로션,4.37,120
lotion_emulsion,69,이즈앤트리알로에 수딩 에멀전,4.04,179
lotion_emulsion,70,하다라보프리미엄 하이드레이팅 로션,4.57,14
lotion_emulsion,71,무인양품보습충전 로션,4.1,10
lotion_emulsion,72,바이오가밀크 프로틴 로션,4.32,75
lotion_emulsion,73,락토덤피부에 유익한 생보습 바디로션,4.45,49
lotion_emulsion,74,닥터자르트시카페어™ 인텐시브 수딩 리페어 밀키 로션,4.4,10
lotion_emulsion,75,아벤느트릭세라 로션,4.2,200
lotion_emulsion,76,유아른비건 올인원 로션,4.57,141
lotion_emulsion,77,폴라초이스10% 아하 각질제거 바디로션,4.3,338
lotion_emulsion,78,마녀공장갈락토미 모이스처 로션,4.3,79
lotion_emulsion,79,프리메라오가니언스 베리어 리페어 하이드레이션 크림 에멀젼,4.43,49
lotion_emulsion,80,하다라보고쿠쥰 밀크,4.35,289
lotion_emulsion,81,라네즈워터뱅크 블루 히알루로닉 에멀젼 [지·복합용],4.63,19
lotion_emulsion,82,이니스프리블랙티 유스 인핸싱 로션,4.43,102
lotion_emulsion,83,스킨아이AC퓨어 에센셜 로션,4.71,97
lotion_emulsion,84,에뛰드수분가득 콜라겐 에멀전,4.46,453
lotion_emulsion,85,헤라하이드로 리플렉팅 플루이드,4.68,22
lotion_emulsion,86,시드물웰빙 녹차 판테놀 로션,4.43,14
lotion_emulsion,87,닥터지레드 블레미쉬 클리어 수딩 에멀전,4.57,49
lotion_emulsion,88,시드물닥터트럽 마일드 로션,3.85,275
lotion_emulsion,89,투데이위드소프트 모이스쳐 판테놀 5% 에센스 로션,4.45,20
lotion_emulsion,90,피지오겔프로 리스토어링 로션,4.53,72
lotion_emulsion,91,셀퓨전씨엑스퍼트배리덤 인텐시브 로션,4.44,18
lotion_emulsion,92,시슬리에뮐씨옹 에꼴로지끄 어드밴스드 포뮬라,4.27,96
lotion_emulsion,93,마몽드프로바이오틱스 세라마이드 에멀전,4.46,63
lotion_emulsion,94,아이보들로션,4.56,25
lotion_emulsion,95,세라비(해외) PM 페이셜 모이스처라이징 로션,4.26,360
lotion_emulsion,96,닥터바이오센시티브 로션 앤 오일,4.54,13
lotion_emulsion,97,피캄카토 수딩 로션,4.16,19
lotion_emulsion,98,아이오페슈퍼바이탈 에멀젼,4.41,22
lotion_emulsion,99,팜트리데일리케어 로션 [플로럴그린],4.7,23
lotion_emulsion,100,셀브릭스킨릴리프 로션,4.68,47
